[43.9        44.84177017]
[45.7        46.34514236]
[46.3        46.98945236]
[46.5        48.06328964]
[53.6       54.4656105]
[53.9        55.17163086]
[56.        56.5780983]
[59.         56.63069534]
[56.7        56.59144974]
[56.1       56.5520134]

[45.9        46.42114258]
[46.4        48.56882858]
[49.7        52.86418533]
[53.1        55.20637894]
[54.6        56.11442566]
[53.         56.61385345]
[56.6       57.0194664]

[48.9        44.38775635]
[45.1        44.38775635]
[48.5        45.46159744]
[47.9        45.46159744]
[53.2        48.80567932]
[57.4        53.24079514]
[57.5       53.4440918]
[59.3        53.94681931]

[46.6       43.4261055]
[48.3        44.23324203]
[48.         45.17683792]
[54.2        48.39835739]
[56.4        52.69372177]
[57.7        54.27972794]
[58.6       54.7337532]
[50.1        48.25043106]
[50.4       49.3302803]
[46.6        54.73976135]

[39.4        42.28445053]
[42.9        45.17865372]
[45.6        47.32633591]
[44.         47.32633591]
[46.2        49.93783951]
[52.7        53.81945419]
[50.4        54.53499603]
[51.2        55.10705948]
[52.7        55.51175308]
[56.        55.9438591]
[57.1        55.87364578]
[59.2        55.87364578]

[45.9       45.1639595]
[45.         45.37872696]
[46.         45.59349442]
[49.3        49.67408752]
[51.         50.78221512]
[53.6        54.71867371]
[54.8       56.7733345]
[54.7        57.01547623]

[46.         45.45878601]
[48.9        45.88832092]
[46.5        45.88832092]
[45.6        46.31785965]
[49.8        48.46553802]
[55.1        51.47229385]
[54.1        54.04951096]
[57.         56.61314774]
[59.6        56.58600235]

[44.4        45.12968445]
[41.9        45.12968445]
[46.9        45.77399063]
[49.4       48.9955101]
[59.3        54.92074203]
[54.2        54.92074203]

[43.4        45.39738846]
[43.4        46.47122955]
[43.8        45.86120987]
[49.4        50.15657425]
[52.1        54.14496231]
[56.3        57.09978867]
[58.7        57.87192535]

[44.7        44.49779892]
[44.9        45.35686874]
[45.1       46.2159462]
[43.2        45.91290283]
[49.1        51.28210068]
[51.1       53.7538147]

[44.2        45.41604233]
[48.2       46.0603447]
[46.9       46.0603447]
[51.2       48.6375618]
[57.7        53.48894882]
[54.2        54.47058487]
[60.3        56.57361221]

[43.2        43.68387985]
[47.9        46.35413361]
[48.8        46.35413361]
[47.5       48.5018158]
[50.6        50.20661163]
[58.         55.15005112]
[56.6        55.37706375]

[41.3        44.28723526]
[44.3        46.41865158]
[45.3        46.79027176]
[49.2        50.97825241]
[51.2        53.82607269]
[53.6        54.73669052]
[51.3        54.73669052]
[55.2        56.83296585]
[52.1        57.09267044]
[53.1        56.83502579]
[53.3        56.83502579]
[56.2       57.9246788]
[55.8       57.9246788]
[54.        57.9246788]
[57.6        58.61290359]

[42.8        42.57921982]
[46.6        46.87457657]
[47.1        49.02225876]
[51.9        52.96992111]
[54.6        54.13562393]
[56.1        55.23186493]
[55.4        55.36071396]

[45.5        44.55038071]
[42.4        44.76514816]
[45.6        45.40945053]
[51.9        50.34911728]
[54.2        54.46399689]
[57.5        55.23658371]
[57.3        55.87221909]
[57.8        56.19031906]

[42.3       44.5376358]
[45.1        45.53959656]
[44.3        45.53959656]
[44.9        46.61343765]
[50.2        48.76111984]
[52.8        50.90880203]
[55.5        50.72832108]
[57.4        53.09076691]
[53.3        51.37262344]
[53.1        52.01692963]
[52.7        51.69961166]
[56.4        53.30553818]
[56.1        53.30553818]
[54.8        53.30553818]
[53.9        53.30553818]
[56.         53.94984055]

[46.7        45.29166031]
[46.3        45.29166031]
[46.3        45.50643158]
[46.8        45.50643158]
[52.3        51.00212479]
[54.5        54.26392746]
[56.8        55.32442474]
[57.         55.08184433]

[42.5        44.80180359]
[44.7        46.41256332]
[43.6       47.4864006]
[45.7        47.17943192]
[52.1        53.97559738]
[52.2        55.35179138]
[55.1        56.39990616]
[56.9        56.31878281]
[55.1        56.31878281]

Mean Error: 1.8581
95% Confidence Interval: [0.2096, 3.5065]

